Year,Title,Gross
1995,Toy Story,"$244,652,254 "
1995,Apollo 13,"$223,837,411 "
1995,Batman Forever,"$184,031,112 "
1995,Pocahontas,"$141,579,773 "
1995,Ace Ventura: When Nature Calls,"$108,385,533 "
1995,GoldenEye,"$106,430,619 "
1995,Jumanji,"$100,475,429 "
1995,Casper,"$100,439,549 "
1995,Se7en,"$100,125,643 "
1995,Die Hard with a Vengeance,"$100,012,499 "
1995,Crimson Tide,"$91,387,195 "
1995,Waterworld,"$88,246,905 "
1995,12 Monkeys,"$87,020,996 "
1995,Dangerous Minds,"$84,919,401 "
1995,Mr. Holland's Opus,"$82,569,971 "
1995,While You Were Sleeping,"$81,057,016 "
1995,Congo,"$81,022,101 "
1995,Father of the Bride Part II,"$76,594,107 "
1995,Braveheart,"$75,609,945 "
1995,Get Shorty,"$72,101,622 "
1995,Grumpier Old Men,"$71,518,503 "
1995,The Bridges of Madison County,"$71,516,617 "
1995,Mortal Kombat,"$70,455,286 "
1995,Nine Months,"$69,684,532 "
1995,Casino,"$68,972,551 "
1995,Outbreak,"$67,659,560 "
1995,Heat,"$67,442,734 "
1995,Waiting to Exhale,"$67,052,156 "
1995,Bad Boys,"$65,807,024 "
1995,Babe,"$63,659,146 "
1995,The American President,"$60,079,496 "
1995,Species,"$60,074,103 "
1995,Clueless,"$56,664,309 "
1995,Sabrina,"$53,696,278 "
1995,Something to Talk About,"$50,865,589 "
1995,The Net,"$50,727,965 "
1995,Under Siege 2: Dark Territory,"$50,024,083 "
1995,A Walk in the Clouds,"$50,008,143 "
1995,The Brady Bunch Movie,"$46,576,136 "
1995,Sense and Sensibility,"$43,184,363 "
1995,Man of the House,"$40,070,995 "
1995,Dead Man Walking,"$39,363,635 "
1995,French Kiss,"$38,896,854 "
1995,Higher Learning,"$38,290,723 "
1995,Mighty Morphin Power Rangers,"$38,187,431 "
1995,First Knight,"$37,600,435 "
1995,Just Cause,"$36,853,222 "
1995,"To Wong Foo, Thanks for Everything! Julie Newmar","$36,474,193 "
1995,The Indian in the Cupboard,"$35,656,131 "
1995,Money Train,"$35,431,113 "
1995,A Goofy Movie,"$35,348,597 "
1995,Judge Dredd,"$34,693,481 "
1995,Forget Paris,"$33,177,694 "
1995,Tommy Boy,"$32,679,899 "
1995,Copycat,"$32,051,917 "
1995,Leaving Las Vegas,"$32,029,928 "
1995,Rob Roy,"$31,596,911 "
1995,Powder,"$30,862,156 "
1995,Assassins,"$30,303,072 "
1995,Free Willy 2: The Adventure Home,"$30,077,111 "
1995,Major Payne,"$29,412,050 "
1995,Friday,"$27,467,564 "
1995,Now and Then,"$27,112,329 "
1995,Houseguest,"$26,325,256 "
1995,Billy Madison,"$25,588,734 "
1995,Desperado,"$25,405,445 "
1995,Operation Dumbo Drop,"$24,670,346 "
1995,Dolores Claiborne,"$24,361,867 "
1995,Dead Presidents,"$24,147,179 "
1995,Virtuosity,"$24,047,675 "
1995,Tom and Huck,"$23,920,048 "
1995,How to Make an American Quilt,"$23,600,020 "
1995,Boys on the Side,"$23,440,188 "
1995,Circle of Friends,"$23,389,975 "
1995,The Usual Suspects,"$23,341,568 "
1995,Don Juan DeMarco,"$22,150,451 "
1995,The Postman,"$21,848,932 "
1995,To Die For,"$21,284,695 "
1995,Tales from the Crypt: Demon Knight,"$21,089,146 "
1995,Showgirls,"$20,350,754 "
1995,Sudden Death,"$20,350,171 "
1995,Vampire in Brooklyn,"$19,751,736 "
1995,It Takes Two,"$19,474,589 "
1995,Johnny Mnemonic,"$19,077,036 "
1995,The Quick and the Dead,"$18,636,537 "
1995,The Big Green,"$17,736,619 "
1995,Heavyweights,"$17,689,177 "
1995,Home for the Holidays,"$17,519,169 "
1995,Murder in the First,"$17,381,942 "
1995,Viaggi di nozze,"$17,142,208 "
1995,Jury Duty,"$17,014,653 "
1995,Devil in a Blue Dress,"$16,140,822 "
1995,The Prophecy,"$16,115,878 "
1995,Across the Sea of Time,"$16,015,639 "
1995,Muriel's Wedding,"$15,482,277 "
1995,Mad Love,"$15,453,274 "
1995,Halloween: The Curse of Michael Myers,"$15,116,634 "
1995,Wings of Courage,"$15,054,636 "
1995,Kiss of Death,"$14,942,422 "
1995,Candyman: Farewell to the Flesh,"$13,940,383 "
1995,Nixon,"$13,681,765 "
1995,A Kid in King Arthur's Court,"$13,406,717 "
1995,Lord of Illusions,"$13,294,422 "
1995,Clockers,"$13,071,518 "
1995,Highlander: The Final Dimension,"$12,303,080 "
1995,Hideaway,"$12,201,255 "
1995,Roommates,"$12,096,881 "
1995,Bye Bye Love,"$12,096,673 "
1995,Tales from the Hood,"$11,837,928 "
1995,Far from Home: The Adventures of Yellow Dog,"$11,642,946 "
1995,Fair Game,"$11,534,477 "
1995,Balto,"$11,348,324 "
1995,My Family/Mi familia,"$11,079,373 "
1995,The Englishman Who Went Up a Hill But Came Down a Mountain,"$10,904,930 "
1995,Dracula: Dead and Loving It,"$10,772,144 "
1995,The Brothers McMullen,"$10,426,506 "
1995,The Scarlet Letter,"$10,382,407 "
1995,Cutthroat Island,"$10,017,322 "
1995,A Little Princess,"$10,015,449 "
1995,Jade,"$9,851,610 "
1995,The Baby-Sitters Club,"$9,685,976 "
1995,Village of the Damned,"$9,418,365 "
1995,In the Mouth of Madness,"$8,925,757 "
1995,Shallow Grave,"$8,386,118 "
1995,Smoke,"$8,367,636 "
1995,Tall Tale,"$8,247,627 "
1995,Nick of Time,"$8,175,346 "
1995,Strange Days,"$7,959,291 "
1995,Unstrung Heroes,"$7,929,434 "
1995,Bushwhacked,"$7,919,823 "
1995,Losing Isaiah,"$7,603,766 "
1995,Hackers,"$7,563,728 "
1995,The Jerky Boys,"$7,557,877 "
1995,The Amazing Panda Adventure,"$7,506,759 "
1995,Kids,"$7,412,216 "
1995,Three Wishes,"$7,027,517 "
1995,Last of the Dogmen,"$7,024,389 "
1995,Never Talk to Strangers,"$6,858,261 "
1995,Panther,"$6,834,525 "
1995,The Hunted,"$6,609,661 "
1995,Mighty Aphrodite,"$6,468,498 "
1995,The Secret of Roan Inish,"$6,159,269 "
1995,Gold Diggers: The Secret of Bear Mountain,"$6,029,091 "
1995,The Walking Dead,"$6,014,341 "
1995,The Tie That Binds,"$5,830,454 "
1995,Beyond Rangoon,"$5,750,110 "
1995,Before Sunrise,"$5,537,238 "
